Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist - Telematics,$92K - $165K (Glassdoor est.),"Ready to make an impact? If so, read on!
GEICO's telematics team uses predictive analytics and machine learning methods to create innovative products and customer interactions using sensor data capturing customer driving behavior. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data cleaning, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will research, develop, and deploy telematics-based solutions to improve pricing, drive customer segmentation, and streamline claim resolution in order to create a competitive advantage for GEICO. You'll synthesize large sensor-based datasets and solve complex problems using advanced machine learning and statistical modeling. You'll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.",3.4,GEICO,"Chevy Chase, MD",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
"Executive Director, Head of Data Technologies and Analytics Enablement",$115K - $216K (Glassdoor est.),"Position Summary
This role oversees multiple teams of computer scientists, data scientists, programmers, data engineers, and architects who deliver technical capabilities in an integrated manner to support the broad Otsuka portfolio. Reporting to the Chief Data & Analytics Officer (CDAO), and a member of the D&A Leadership Team, this leader will become a driving force of change, partnership, quality and delivery across the Data & Analytics organization. Data Technologies and Analytics Enablement (DT&AE) in Data & Analytics (D&A) is an organization comprised of multiple functional teams. The remit of the Head of DT&AE position will have responsibilities to establish, lead and continue to evolve the following adjacent areas:
Data Science Solutions: development and application of advanced analytical methods inclusive of Artificial Intelligence (e.g. Machine Learning, Deep Learning, NLP, Voice Recognition, RPA, etc… ). A centralized methods group of data scientists, machine learning researchers providing innovative solutions to practical business problems. Supporting all D&A analytics verticals and the Data Stewardship vertical.
This job description is intended to describe the general nature and level of the work being performed by the people assigned to this position. It is not intended to include every job duty and responsibility specific to the position. Otsuka reserves the right to amend and change responsibilities to meet business and organizational needs as necessary.Otsuka is an equal opportunity employer. All qualified applicants are encouraged to apply and will receive consideration for employment without regard to their protected veteran or disabled status, or any protected status.",4.1,Otsuka Pharmaceutical Co.,"Princeton, NJ",-1,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,-1
Data Scientist,$63K - $118K (Glassdoor est.),"Laidig Systems, Inc. is currently looking for a qualified candidate for a Data Scientist to join the Research and Development Engineering team in expanding the use of machine data throughout the organization. The Data Scientistwill help define/improve data collection, storage, analysis, and reporting capabilities to provide actionable insight and improve operational efficiency. The Data Scientistwill collaborate with internal and external teams to understand business needs/issues, troubleshoot problems, conduct root cause analysis, and develop cost effective resolutions. The Data Scientist will also assist in building predictive systems to help identify equipment issues before they arise. This is a great opportunity for someone who is interested in joining a growing, innovative engineering group with the possibility of career development in data engineering and asset data management.
More about this role:
As an you will be instrumental in analyzing data discrepancies and data lineage in our field, life-cycle data acquisition assets. This is a new position at Laidig Systems and will report to the Research and Development Engineering Manager. The will:",4.6,"Laidig Systems, Inc.","Mishawaka, IN",-1,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,-1
"Data Engineer – Fairfax, VA",$78K - $142K (Glassdoor est.),"Vibrent, a rapidly growing health-tech company, is looking for a Data Engineer to support Vibrent’s data-driven approach to health, as we explore data from multiple disparate sources to discover patterns and hidden insights.
We’re looking for candidates who thrive in professional, strategic and innovative user-focused environments, and who are committed to delivering quality products and/or services. The candidate must be able to think independently, analyze, troubleshoot and resolve complex business and technical problems.
You will work with very large, complex, cloud-based scientific datasets and help identify and answer questions that will shape scientific studies. The work that you do will contribute to improving the health of people across the nation.
You will be responsible for developing, optimizing and maintaining code and data pipelines.",3.3,Vibrent Health,"Fairfax, VA",-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
R&D Scientist,$48K - $104K (Glassdoor est.),"Job Purpose / Summary:
This is a laboratory-based position within the Research and Development group. The candidate will independently develop robust immunoassays and execute assay verification, validation, and transfer studies in support of assay development for a range of moieties such as proteins, cytokines and antibodies. Assays include Enzyme-Linked Immunosorbent Assays (ELISAs), Chemiluminescence Assays (CLIA), Indirect Immunofluorescence (IIF), Line Immunoassays (LIA) and cell-based assays such as flow cytometry.
Duties and Responsibilities:
· Supervise lab-based assay development for ELISA, CLIA, IIF, LIA and cell-based assays such as flow cytometry with guidance from the R&D Manager.",-1,"KSL Diagnostics, Inc.","Buffalo, NY",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst,$42K - $82K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Reporting to the InnovaCare Partners Director of Informatics, the Data Analyst will be responsible for creating reports and the analysis of data. The position is also responsible for research, collection, analysis and presentation of the practice’s utilization and financial data. Must have the ability to work with multiple departments within the organization in an effort to coordinate analytics to enhance operational efficiencies.
Duties and Responsibilities:
Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goals",-1,"InnovaCare Partners, LLC","Orlando, FL",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst,$51K - $97K (Glassdoor est.),"Data Analyst, Television Data Products
Department: Product Management
Location: Dulles, VA or New York, NY
FourthWall Media is creating a whole new way of thinking about media analytics. From audiences to attribution, our deep data experience coupled with our Reveal™ platform opens the door for evolution, invention, and growth across the media ecosystem.
We are seeking a senior-level Data Analyst in our Dulles, VA or New York, NY locations to join our team and help propel us into the future. The right person will produce compelling, advanced analytics for television Programmers, Agencies, Advertisers, and DSPs, and help drive client successes through the application of data-driven television products.",-1,"FourthWall Media, Inc.","Fairfax, VA",-1,-1,-1,-1,-1,-1,-1,-1
Lead Data Scientist,$92K - $171K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Lead Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.4,GEICO,"Chevy Chase, MD",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Research Scientist,$40K - $80K (Glassdoor est.),"To be considered, please apply online via the dirct link: https://employment.udayton.edu/en-us/job/498946/research-scientist

We are seeking to hire a research scientist to conduct research projects in recombinant protein engineering, synthetic biology, molecular/cellular biology, and microbiology in the area of fuel and energy biotechnology. The position requires strong expertise and hands-on experience in bioengineering, synthetic biology, molecular/cellular biology, microbiology, research techniques and molecular/analytical instrumentation. This position intersects synthetic biology, microbiology and bioinformatics disciplines, and requires familiarity with identification and construction of biosynthetic pathways.

Minimum Qualifications:

M.S with 4 years of experience post-graduation or Ph.D. degree in bioengineering, biomolecular sciences, molecular biology, biochemistry, microbiology, or related fields. Key qualifications include experience with recombinant DNA techniques, cloning, genetic circuits and other synthetic biology strategies, BLS 2 microbiological techniques, bacterial and fungal cultivation, preparation of media, buffers and solutions, PCR, qPCR, cDNA, agarose electrophoresis, nucleic acids isolations, protein purification, SDS-PAGE and Western blot, ELISA, FPLC, microscopy, technical writing and presentations. A minimum of four years of molecular assay development and related experience is required. Due to the nature of this position U.S. Citizenship is required.



Demonstrated proficiency with microbiological and biomolecular techniques, such as recombinant protein engineering and expression, small molecules/peptides/protein purification and protein characterization. Experience with transformation and cultivation of non-model microorganisms such as environmental yeast and bacteria, and photosynthetic bacteria/algae. Previous research in molecular and environmental microbiology with use of bioreactors/fermenters for scaling up synthetic biology products and FPLC approaches. General understanding of next-generation DNA sequencing, and bioinformatics. Other beneficial skills include familiarity with genomics, transcriptomics, proteomics and metabolomics, and Liquid Chromatography Mass Spectrometry (LC-MS) platforms. Demonstrate high motivation, innovation, critical thinking, and capacity to work independently and collaboratively in a high-performance R&D laboratory environment. A record of R&D accomplishments that include peer-reviewed publications and other technical writings in molecular biology is preferred. Experience in bioengineering with process scale-up and purification optimization for biologics and biosynthetic molecules is a plus.







Informed by its Catholic and Marianist mission, the University is committed to the principles of diversity, equity, and inclusion. Informed by this commitment, we seek to increase diversity, achieve equitable outcomes, and model inclusion across our campus community. As an Affirmative Action and Equal Opportunity Employer, we will not discriminate against minorities, women, protected veterans, individuals with disabilities, or on the basis of race, color, national origin, religion, sex, sexual orientation or gender identity.",4.4,University of Dayton,"Dayton, OH",-1,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,-1
Data Analyst,$41K - $94K (Glassdoor est.),"Be the Bank of Choice— Deliver quality products and positive experiences that are so memorable that it moves our customers to recommend us to family, friends, neighbors.
Give Exceptional Service —Focus on the evolving needs of our customers and deliver more value than any competitor.
Live Teamwork —Treat others as we would want to be treated, foster a culture of appreciation, and encourage collaborative efforts. Our strength is our people.
Create Growth —Drive growth through innovation, flexibility and create solution.
Have Integrity Without Compromise —Hold ourselves to the highest standards in all we say and do by being accountable for our behaviors, actions and outcomes. Take personal responsibility for delivering great results.",-1,Century Bank,"Santa Fe, NM",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$81K - $149K (Glassdoor est.),"Position Overview:
ZENETEX specializes in management and technology support services for a variety of Federal agencies and commercial organizations nationwide. “Because Service Matters” is our corporate cultural philosophy that brings total focus to both our employees and our customers. We have a great opportunity for a Data Scientist at Quantico, VA. This position will require an active DoD TS/SCI clearance.
Description:
The DATA SCIENTIST will perform the following tasks:
Conduct Data Science activities, applying skills and experience extracting new and innovative insights from complex, non-traditional, and/or large datasets.
Must be capable of working with intelligence analysts to identify innovative ways to apply data science to publicly available information in order to meet intelligence requirements derived from SIPRNet or JWICS sources.
Qualifications:

Security Clearance:",3.7,Zenetex LLC,"Quantico, VA",-1,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,-1
Research Data Scientist,$67K - $145K (Glassdoor est.),"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",3.8,Intelligent Automation,"Rockville, MD",-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
Customer Data Analyst I,$47K - $92K (Glassdoor est.),"Customer Data Analyst I
- (2100159)

Under direct supervision, supports the Customer Analytics program for the Customer Experience team. Delivers analytic insights by conducting routine or standard quantitative analysis supporting strategic business decisions. Focuses on measuring and analyzing customer behaviors across channels and interactions. Primarily works indirectly with internal business customers.
Responsibilities
Implements analytics strategy and approach including routine processes and analyses to deliver meaningful and actionable results as it relates to customer behavior, feedback, operational metrics and segmentation.",4.1,Medical Mutual of Ohio,"Brooklyn, OH",-1,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,-1
Data Scientist / Sr. Data Scientist,$76K - $142K (Glassdoor est.),"Corporate Summary
As one of the largest investor-owned companies in the U.S. utility sector, PPL Corporation delivers on its promises to customers, investors, employees and the communities we serve. Our utilities - Western Power Distribution, Louisville Gas and Electric and Kentucky Utilities, and PPL Electric Utilities - provide an outstanding service experience for our customers, consistently ranking among the best in the United States and the United Kingdom. PPL has grown from a company with customers and facilities in one region of Pennsylvania to a diverse energy company with more than 10 million customers in the U.S. and the U.K. PPL provides energy for millions of customers while providing challenging and rewarding careers for thousands of employees around the U.S. and abroad.
Experience Level",3.2,PPL Corporation,"Allentown, PA",-1,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,-1
"Data Scientist, Senior",$92K - $165K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.",3.4,GEICO,"Chevy Chase, MD",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Data Analyst,$41K - $76K (Glassdoor est.),"Laidig Systems, Inc. is currently looking for a qualified candidate for a Data Analyst to join the Research and Development Engineering team in expanding the use of machine data throughout the organization. The Data Analyst will help define/improve data collection, storage, analysis, and reporting capabilities to provide actionable insight and improve operational efficiency. The Data Analyst will collaborate with internal and external teams to understand business needs/issues, troubleshoot problems, conduct root cause analysis, and develop cost effective resolutions. The Data Analyst will also assist in building predictive systems to help identify equipment issues before they arise. This is a great opportunity for someone who is interested in joining a growing, innovative engineering group with the possibility of career development in data engineering and asset data management.
More about this role:
As an you will be instrumental in analyzing data discrepancies and data lineage in our field, life-cycle data acquisition assets. This is a new position at Laidig Systems and will report to the Research and Development Engineering Manager. The will:",4.6,"Laidig Systems, Inc.","Mishawaka, IN",-1,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,-1
Clinical Data Scientist – Wearable Digital Therapeutics,-1,"Revibe is a digital therapeutics startup focused on leveraging wearable technologies and machine learning to improve focus, attention and learning in children with ADHD. We are a fun, tight-knit team who shares a collective passion for innovation, pushing boundaries and leveraging our skills to do good for others through technology. We believe in rooting for the underdog, in never saying never and that every person deserves a chance to experience success, no matter what challenges they may face.
Led by a successful serial entrepreneur, Revibe is now expanding the team in several areas; for this position, we are looking for a fun, energetic, well-rounded professional who is versed in areas of data science and statistics (who says data scientists can’t be fun?) to help us level the playing field through technology. You will work collaboratively with key members at Revibe who oversee areas of science, technology and innovation, to help cultivate unique data, generate insights and create new algorithms using ML/DNN.





Apply Now!",-1,Revibe Technologies,North Carolina,-1,-1,-1,-1,-1,-1,-1,-1
Lead / Senior Data Scientist,$78K - $148K (Glassdoor est.),"About Dealerware:
Dealerware is modern fleet management for the modern retailer. We are proud to be one of the hottest software companies in the automotive sector. By combining a modern-approach with fresh design thinking, Dealerware’s industry-leading SaaS platform enables best-in-class fleet management and mobility for top automotive dealerships and manufacturers. Three years ago, we burst onto the scene with a promise to reduce costs and elevate the customer experience at automotive dealerships.

Dealerware currently manages fleets for 28 automotive brands and 10 of the top 10 dealer groups in the country. With a recent expansion into international markets, our growth trajectory continues to be within the top 1% of SaaS businesses. Across the automotive ecosystem, there’s hundreds of billions of dollars at stake. And we’re right in the swell of it.

Dealerware is looking for a Lead/Senior Data Scientist to apply their leadership and experience in data science development to manage and grow a small team of data scientists to innovate in the fleet management and connected car space. They will need a deep understanding of statistics analytics, machine learning, and programming to discover hidden opportunities, trends, and patterns. Working cross-functionally with our team they will understand the data science and analytics and business requirements that will help our product unlock data insights for our customers. We are looking for a strong self-starter who will work closely with product management, engineering, design, and research to co-create and drive a culture of curiosity and experimentation.",4.0,Dealerware,"Austin, TX",-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
HR Benefits Data Analyst/Advisor,$40K - $86K (Glassdoor est.),"Job Title: Benefits Data Analyst & Advisor
General Definition: This role will provide data driven recommendations to senior leadership of the Department of Interior Services as it pertains to human capital, employee benefit plans, policy changes, FY budgeting and other financial initiatives.
Supervision Received: Director, Financial Performance & Defined Contribution Plans, Human Resources/Benefits
Supervision Exercised: None
MINIMUM QUALIFICATIONS
Training and Experience:",4.2,The Chickasaw Nation,"Oklahoma City, OK",-1,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,-1
Sr Data Scientist - Defense & Intelligence,$99K - $169K (Glassdoor est.),"Senior Data Scientist (Secret OR Top Secret clearance accepted) - Defense & Intelligence
Elder Research Inc. is a recognized leader in predictive analytics and data mining. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Northern Virginia-Washington Metropolitan area for analytics and data science professionals to support our Defense & Intelligence business.
Job Description
As a Senior Data Scientist, you will work directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems. You will primarily create and deploy predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods.

#JT",4.3,Elder Research Inc,"Arlington, VA",-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
Future Position: Data Scientist,$99K - $169K (Glassdoor est.),"Note: This is an evergreen requisition, so if and when there is a job opening, the Company will contact only those individuals who have submitted resumes that match the skills, experience, and other requirements of the job opening. These candidates will receive an invitation link to apply to the specific job and must apply again in order to be considered for it.

We are looking for a Data Scientist with strong quantitative skills and business acumen to work with partners across the organization to tackle strategic problems that influence the company’s growth. In this role, you will be responsible for working closely with our business partners to seek sophisticated quantitative problems that align with our strategic directives and teach/ encourage our partners to utilize analytical techniques independently. Your work will have a direct and measurable impact on issues that affect many aspects of company success (revenue growth management, digital transformation, environmental sustainability, etc.)",4.2,Colgate-Palmolive,"Piscataway, NJ",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Data Engineer,$99K - $169K (Glassdoor est.),"About us
Dedicated to Truth in Data since 2009
Truth in Data is our passion. And like all truly great partnerships, Vince Cersosimo and Douglas Egeth compliment each other perfectly. Both are experienced in the email marketing world, coming from essentially two different sides of the same coin, and both wisely noticed the same overwhelming need within the industry at the same time. Together, they decided to do something about it. That need, for truth in data, became the heart of everything Webbula has stood for and accomplished during the last decade.
Today Webbula is the undisputed industry leader in data quality technology, providing expert marketing solutions. Our emailHygiene, Data Appends, and Audience Data solutions mitigate delivery threats, enhance and append data lists for email campaigns and create actionable audiences for online ad serving. Webbula has a proven track record of helping our customers navigate hazardous data quality obstacles and increase their return on investment.",-1,Webbula,"Wexford, PA",-1,-1,-1,-1,-1,-1,-1,-1
Lab Informatics Data Scientist,$99K - $169K (Glassdoor est.),"We seek Data Scientist to work with subject matter experts (application scientists, software developers and architects) and develop data analytics tools for analytical laboratories. Do you have both science and data analytics training and experience? Are you passionate about further unleashing the power of data (chromatography, mass spectrometry, spectroscopy, and other analytical techniques) to generate insights? Are you excited to work with product managers and technical teams to bring product to market? Do you wish to contribute to the future of laboratory informatics? If so, this role will allow you to use your knowledge to develop secondary data analysis use cases, generate new insights and to contribute to commercializing new and existing products.",4.3,"Agilent Technologies, Inc.","Wilmington, DE",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
